Team,Awper,IGL,1st Rated,2nd Rated,3rd Rated
Vitality,ZywOo,Apex,Flamez,Magisk,Spinx
ENCE,Sunpayus,Snappi,Nertz,Dycha,Maden
G2,M0nesy,Hooxi,Niko,Hunter,Jks
Heroic,Stavn,Cadian,Sjuush,Teses,Jabbi
Astralis,Device,Blamef,Buzz,Staehr,Borup
Faze,Broky,Karrigan,Twistzz,Ropz,Rain
Gamer Legion,Acor,Nealan,Isak,Volt,Keoz
Cloud9,Sh1ro,Electronic,Perfecto,Hobbit,Ax1le
Natus Vincere,S1mple,Aleksib,Bit,Jl,Im
Mouz,Torzsi,Siuhy,Frozen,Xertion,Jimpphat
Monte,Woro2k,Sdy,Demqq,Krasnal,Bro
Ninjas in Pyjamas,Headtr1ck,Hampus,Konfig,Brollan,Rez
Virtus Pro,N0rb3r7,Jame,Fame,Flit,Mir
Apeks,Kyxsan,Nawwk,Jkaem,Cacanito,Styko
Fnatic,Afro,Dexter ,Mezii,Krimz,Roej
Team Liquid,Osee,Yekindar,Patsi,Naf,Rainwaker
Imperial,Hen1,Vini,Boltz,Jota,Vini
Furia,Art,Fallen,Kscerato,Yuurih,Chelo
9INE,Hades,Mynio,Kei,Goofy,Kylar
BIG,Mantuu,Tabsen,Krimbo,S1n,Prosus
Spirit,Artfrost,Chopper,Donk,Zont1x,Magixx
Complexity,Hallzerk,Jt,Elige,Grim,Floppy
MIBR,Saffee,Exit,Insani,Brnz4n,Drop
OG,Regali,Nexa,Fashr,F1ku,K1to
TheMongolz,910,Blitz,Senzu,Techno,Mzinho
Movistar Rider,Martinez,Alex,Adams,Just,Mopoz
1WIN,Deko,Boombl4,Forester,Travis,NickelBack
Bad News Eagles,Gxx-,Sinnopsyy,Juanflatroo,Rigon,Sener1
Aurora,Lattykk,Lack1,Kensi,Norwi,Sellter
Evil Geniuses ,Junior,Walco,Hext,Autimatic,Jeorge